delta,district_number,drive_id,form_type,issue,latest_extra,latest_missing,latest_sum,province,valid,winner_ect,winner_latest
,5,17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd,party_list,party_key_bad_latest,,23,,กรุงเทพมหานคร,,,
-18,12,17kN56fpRgdAKLnClJxTKRA74idHwxMCV,party_list,sum_valid_mismatch,,,106736,กรุงเทพมหานคร,106754,,
,12,17kN56fpRgdAKLnClJxTKRA74idHwxMCV,party_list,party_key_bad_latest,,24,,กรุงเทพมหานคร,,,
,15,missing::กรุงเทพมหานคร::15::party_list,party_list,party_no_votes_latest,,,,กรุงเทพมหานคร,,,
-27,19,18CoxX7jIOV3Oo-m5jqj6FEvkPsSQ25UF,party_list,sum_valid_mismatch,,,94973,กรุงเทพมหานคร,95000,,
,19,18CoxX7jIOV3Oo-m5jqj6FEvkPsSQ25UF,party_list,party_key_bad_latest,,19,,กรุงเทพมหานคร,,,
349,1,1VKae75PH9ewqe33kglXKzZdZQf1t2dJo,party_list,sum_valid_mismatch,,,83229,กาฬสินธุ์,82880,,
-74,7,1GDCFtiEf56CaCcxbXLTodwrzB97ecoxJ,party_list,sum_valid_mismatch,,,83183,ขอนแก่น,83257,,
,7,1GDCFtiEf56CaCcxbXLTodwrzB97ecoxJ,party_list,party_key_bad_latest,,"18,21",,ขอนแก่น,,,
,1,1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o,party_list,party_key_bad_latest,,"16,19",,ชัยภูมิ,,,
,1,1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o,party_list,winner_mismatch_latest_ect,,,,ชัยภูมิ,,9,46
-26,3,1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD,party_list,sum_valid_mismatch,,,82500,นครปฐม,82526,,
,3,1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD,party_list,party_key_bad_latest,,"19,57",,นครปฐม,,,
,2,missing::นครพนม::2::party_list,party_list,party_no_votes_latest,,,,นครพนม,,,
,13,1aqb4gW7J2F7hpIeDGqbcitGTlzMFJzD7,party_list,winner_mismatch_latest_ect,,,,นครราชสีมา,,46,44
,4,15Z_xrytFtFgFWqrCPO0HHwwkj03l00ev,party_list,winner_mismatch_latest_ect,,,,นครสวรรค์,,37,46
-1281,6,1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-,party_list,sum_valid_mismatch,,,80356,นครสวรรค์,81637,,
,6,1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-,party_list,party_key_bad_latest,,"21,24,44",,นครสวรรค์,,,
,1,missing::บุรีรัมย์::1::party_list,party_list,party_no_votes_latest,,,,บุรีรัมย์,,,
,2,missing::บุรีรัมย์::2::party_list,party_list,party_no_votes_latest,,,,บุรีรัมย์,,,
,3,missing::บุรีรัมย์::3::party_list,party_list,party_no_votes_latest,,,,บุรีรัมย์,,,
,4,missing::บุรีรัมย์::4::party_list,party_list,party_no_votes_latest,,,,บุรีรัมย์,,,
,5,missing::บุรีรัมย์::5::party_list,party_list,party_no_votes_latest,,,,บุรีรัมย์,,,
,6,missing::บุรีรัมย์::6::party_list,party_list,party_no_votes_latest,,,,บุรีรัมย์,,,
,7,missing::บุรีรัมย์::7::party_list,party_list,party_no_votes_latest,,,,บุรีรัมย์,,,
,8,missing::บุรีรัมย์::8::party_list,party_list,party_no_votes_latest,,,,บุรีรัมย์,,,
,9,missing::บุรีรัมย์::9::party_list,party_list,party_no_votes_latest,,,,บุรีรัมย์,,,
,10,missing::บุรีรัมย์::10::party_list,party_list,party_no_votes_latest,,,,บุรีรัมย์,,,
,1,1TAXGRGeK1vt5KXaiUbzwaxxkin1nPHuH,party_list,party_key_bad_latest,,"15,21,27",,ปราจีนบุรี,,,
-110,2,1gpZ3Cr_r6LR_LyapXIZO2EPou774f4RF,party_list,sum_valid_mismatch,,,75428,ปัตตานี,75538,,
,2,1gpZ3Cr_r6LR_LyapXIZO2EPou774f4RF,party_list,party_key_bad_latest,,49,,ปัตตานี,,,
,2,1gpZ3Cr_r6LR_LyapXIZO2EPou774f4RF,party_list,winner_mismatch_latest_ect,,,,ปัตตานี,,33,46
,3,1X2XFsK7JutA_Wnr1jiqmbyizjTKiq-M9,party_list,winner_mismatch_latest_ect,,,,พิจิตร,,37,46
,4,1aekbX_zkKWSWXLNHIYHsABSumSmdk-3Q,party_list,winner_mismatch_latest_ect,,,,พิษณุโลก,,37,46
-43,6,1kxoESaaABDMAr6Y7TdVhSbfCUA2zUWlr,party_list,sum_valid_mismatch,,,85945,มหาสารคาม,85988,,
,6,1kxoESaaABDMAr6Y7TdVhSbfCUA2zUWlr,party_list,party_key_bad_latest,,19,,มหาสารคาม,,,
,1,1WRAvl9xZNbPjI9eJo_4uwrLMbnwWjUXs,party_list,winner_mismatch_latest_ect,,,,ยะลา,,33,46
,3,1-kFb4JSOnPQWM_wF4W9Ny68WI7vIyBRc,party_list,winner_mismatch_latest_ect,,,,ลพบุรี,,37,46
,1,1kIm0liXTa7mJ1XM8TzzFkPE7mYqvtBqX,party_list,party_key_bad_latest,58,18,,สกลนคร,,,
,1,1kIm0liXTa7mJ1XM8TzzFkPE7mYqvtBqX,party_list,winner_mismatch_latest_ect,,,,สกลนคร,,46,47
-633,4,1E0O4j3G10-4XAREzQE2ll_XR9qgX6Nq1,party_list,sum_valid_mismatch,,,95194,สงขลา,95827,,
,4,1E0O4j3G10-4XAREzQE2ll_XR9qgX6Nq1,party_list,party_key_bad_latest,,3,,สงขลา,,,
-46,2,1C8Pi5_EoX5VwrgKwN2KsDNxAgu5rmfFB,party_list,sum_valid_mismatch,,,92701,สตูล,92747,,
,2,1C8Pi5_EoX5VwrgKwN2KsDNxAgu5rmfFB,party_list,party_key_bad_latest,,22,,สตูล,,,
,3,1yDDqHHb41bUcAyQcHXZdun4A1Da8kwmg,party_list,winner_mismatch_latest_ect,,,,สุโขทัย,,9,46
,6,missing::อุดรธานี::6::party_list,party_list,party_no_votes_latest,,,,อุดรธานี,,,
-47,2,1fx1cHJBn41Py_WC7uxiwqTsRQnR4O50j,party_list,sum_valid_mismatch,,,74516,อุตรดิตถ์,74563,,
,2,1fx1cHJBn41Py_WC7uxiwqTsRQnR4O50j,party_list,party_key_bad_latest,,19,,อุตรดิตถ์,,,
,2,1fR6sgkzJQt4o1NmQl9L8woQ2RVsxxaBY,party_list,winner_mismatch_latest_ect,,,,อุบลราชธานี,,21,46
,3,1vVtnqSG4yIAfN7Flj5c0xV96-oiWHqdL,party_list,winner_mismatch_latest_ect,,,,อุบลราชธานี,,46,9
,2,1ckLX1ULdyCg10J6RelgGgsCS8Q8HvLYg,party_list,winner_mismatch_latest_ect,,,,เลย,,9,46
,3,1fp_m4DdhjX8D_oKJkNR7aFWs_zZwStmH,party_list,winner_mismatch_latest_ect,,,,แพร่,,9,46
