province,district_number,candidate_no,candidate_name,party,votes,drive_id,drive_url
พิจิตร,1,6,นายภัทรพงศ์ ภัทรประสิทธิ์,ภูมิใจไทย,53293,1sgrzX12MFB_z6sgkArqqgBn2NCaGgOBY,https://drive.google.com/file/d/1sgrzX12MFB_z6sgkArqqgBn2NCaGgOBY/view
พิจิตร,2,2,นายวินัย ภัทรประสิทธิ์,ภูมิใจไทย,46639,1QQSpruteYr1I9xTEoJxe7Wkc6iHbeoaP,https://drive.google.com/file/d/1QQSpruteYr1I9xTEoJxe7Wkc6iHbeoaP/view
พิจิตร,3,2,นายศิริวัฒน์ ขจรประศาสน์,ภูมิใจไทย,39021,16fWm4E8il1U_5iZrqxdlEH394zyk66Af,https://drive.google.com/file/d/16fWm4E8il1U_5iZrqxdlEH394zyk66Af/view
พิษณุโลก,1,5,นายณฐชนน ชนะบูรณาศักดิ์,ประชาชน,34692,1YV5qWGmUmSTyxVjPButFyAVEVML69LqP,https://drive.google.com/file/d/1YV5qWGmUmSTyxVjPButFyAVEVML69LqP/view
พิษณุโลก,2,1,นายนพพล เหลืองทองนารา,เพื่อไทย,40429,1t5nHdrhrqFuA8YVPl2VKPCly0lujhDC3,https://drive.google.com/file/d/1t5nHdrhrqFuA8YVPl2VKPCly0lujhDC3/view
พิษณุโลก,3,6,นายพงษ์มนู ทองหนัก,ภูมิใจไทย,42353,1WKcXn4SRZTLWxvlNXDfzOV_6uSe4xHzo,https://drive.google.com/file/d/1WKcXn4SRZTLWxvlNXDfzOV_6uSe4xHzo/view
พิษณุโลก,4,3,นายนิยม ช่างพินิจ,ภูมิใจไทย,42805,1FDUKH2xDWOJ4_dSWBM25fuHBhhEsZ4S1,https://drive.google.com/file/d/1FDUKH2xDWOJ4_dSWBM25fuHBhhEsZ4S1/view
พิษณุโลก,5,5,นายจุติ ไกรฤกษ์,ภูมิใจไทย,34149,1xFyUwnwUO_RILEHVsOO4PRMXJQGyFe1X,https://drive.google.com/file/d/1xFyUwnwUO_RILEHVsOO4PRMXJQGyFe1X/view
ภูเก็ต,1,3,ว่าที่ร้อยตรีสมชาติ เตชถาวรเจริญ,ประชาชน,19458,1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd,https://drive.google.com/file/d/1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd/view
ภูเก็ต,2,6,นายเฉลิมพงศ์ แสงดี,ประชาชน,24877,10ONZcTBESOqqPprX-_FoAfK-FUbemxpl,https://drive.google.com/file/d/10ONZcTBESOqqPprX-_FoAfK-FUbemxpl/view
ภูเก็ต,3,3,นางสาวอรทัย เกิดทรัพย์,กล้าธรรม,30360,1Wgi8BKGw8Hm1AT5KnLWd_4LN7papwaB4,https://drive.google.com/file/d/1Wgi8BKGw8Hm1AT5KnLWd_4LN7papwaB4/view
มหาสารคาม,1,6,นายฤทธิรงค์ ภูมิสวัสดิ์,ภูมิใจไทย,32493,1IO2mowaFL3d6-WQaaQwpNDIx1pQujQQQ,https://drive.google.com/file/d/1IO2mowaFL3d6-WQaaQwpNDIx1pQujQQQ/view
มหาสารคาม,2,5,นายประวัติ ทองสมบูรณ์,ภูมิใจไทย,32203,1IzBtSsI-hIBOkAIVWZm3Vf-7PMWed3EY,https://drive.google.com/file/d/1IzBtSsI-hIBOkAIVWZm3Vf-7PMWed3EY/view
มหาสารคาม,3,6,นายลัทธชัย โชคชัยวัฒนากร,ภูมิใจไทย,39612,1j6dNC2Axb2waUo45Q22vGqueIE5eRikg,https://drive.google.com/file/d/1j6dNC2Axb2waUo45Q22vGqueIE5eRikg/view
มหาสารคาม,4,3,นายวิเชียร จงชูวณิชย์,ภูมิใจไทย,30843,1ybMxyu9c8tJ4LDaM_BjHAyLMX_KVO3HW,https://drive.google.com/file/d/1ybMxyu9c8tJ4LDaM_BjHAyLMX_KVO3HW/view
มหาสารคาม,5,1,นายจิรวัฒน์ ศิริพานิชย์,เพื่อไทย,36149,1Y_-frDY8b8TKufTtArRfD836do1YinQw,https://drive.google.com/file/d/1Y_-frDY8b8TKufTtArRfD836do1YinQw/view
มหาสารคาม,6,1,นางคมคาย อุดรพิมพ์,ภูมิใจไทย,38939,1DZEzbzWTvLsDMIzE21a7WqmLM1jsZ7lI,https://drive.google.com/file/d/1DZEzbzWTvLsDMIzE21a7WqmLM1jsZ7lI/view
มุกดาหาร,1,4,นายวิริยะ ทองผา,ภูมิใจไทย,31342,17oXsEBd3sEknl5jjb2nUWcBHOfK5ExeO,https://drive.google.com/file/d/17oXsEBd3sEknl5jjb2nUWcBHOfK5ExeO/view
มุกดาหาร,2,1,นายเลขาดำไตรสรณคมน์ หนองเรือง,กล้าธรรม,42393,10S7jQLVcsKpZePi0j1nbJwlxceOeJFs7,https://drive.google.com/file/d/10S7jQLVcsKpZePi0j1nbJwlxceOeJFs7/view
ยะลา,1,3,นายสุไลมาน บือแนปีแน,ประชาชาติ,31446,1oyunMIrx_Ou1sQOsVjlJ4T1I94qlrKVf,https://drive.google.com/file/d/1oyunMIrx_Ou1sQOsVjlJ4T1I94qlrKVf/view
ยะลา,2,7,นายซูการ์โน มะทา,ประชาชาติ,46972,1SDuAZiMZIuPM9ZgUQg4IzIo69wu6PBzR,https://drive.google.com/file/d/1SDuAZiMZIuPM9ZgUQg4IzIo69wu6PBzR/view
ยะลา,3,3,นายอับดุลอายี สาแม็ง,ประชาชาติ,34910,1tZfDrd_zH2ozDUEzgq355DdO8W5YVJ0t,https://drive.google.com/file/d/1tZfDrd_zH2ozDUEzgq355DdO8W5YVJ0t/view
ยโสธร,1,2,นางสุภาพร สลับศรี,ภูมิใจไทย,49334,1z4BVMx4lSMoYUXsqPSyx4iecY8Fxwhb5,https://drive.google.com/file/d/1z4BVMx4lSMoYUXsqPSyx4iecY8Fxwhb5/view
ยโสธร,2,3,นายวรายุทธ จงอักษร,ภูมิใจไทย,51233,1XqAXsUDh6siM31Q8_dVssYRfQo4NKHWS,https://drive.google.com/file/d/1XqAXsUDh6siM31Q8_dVssYRfQo4NKHWS/view
ยโสธร,3,2,นายธนพัฒน์ ศรีชนะ,ภูมิใจไทย,44970,1c9-eRCLNqh4MmJ0WWgbplg27dRmiZyVm,https://drive.google.com/file/d/1c9-eRCLNqh4MmJ0WWgbplg27dRmiZyVm/view
ระนอง,1,4,นายคงกฤษ ฉัตรมาลีรัตน์,ภูมิใจไทย,59363,1Js0d-h4AOQ30m8MtUn2o6v_Ksp_kdVWf,https://drive.google.com/file/d/1Js0d-h4AOQ30m8MtUn2o6v_Ksp_kdVWf/view
ระยอง,1,1,นางสาวกมนทรรศน์ กิตติสุนทรสกุล,ประชาชน,36934,1egHzkfNT5KM524XgS80PCqOzfamz6_3g,https://drive.google.com/file/d/1egHzkfNT5KM524XgS80PCqOzfamz6_3g/view
ระยอง,2,1,นายกฤช ศิลปชัย,ประชาชน,33687,1FoMMf18LQ0PfTNp5dVrKu2DpDNp8s1gT,https://drive.google.com/file/d/1FoMMf18LQ0PfTNp5dVrKu2DpDNp8s1gT/view
ระยอง,3,5,นายพศิน ปิตุเตชะ,ประชาธิปัตย์,26873,1eaSgfvLvOtTEe6EOEgTjlCmQ4uqoRRcF,https://drive.google.com/file/d/1eaSgfvLvOtTEe6EOEgTjlCmQ4uqoRRcF/view
ระยอง,4,2,นายฉัตรชัย ปิตุเตชะ,ภูมิใจไทย,46134,19iB389xxphVBcRnxmC7kodflHLt95a7Y,https://drive.google.com/file/d/19iB389xxphVBcRnxmC7kodflHLt95a7Y/view
ระยอง,5,2,นายวัชรพงษ์ ศิริรักษ์,ประชาชน,37569,1eslhYSidMcihgOc9AiTQWwKo9KQEEqsv,https://drive.google.com/file/d/1eslhYSidMcihgOc9AiTQWwKo9KQEEqsv/view
ราชบุรี,1,4,นางสาวกุลวลี นพอมรบดี,ภูมิใจไทย,56407,1mV5J7Fx33Lo8JuQvFzflLbJdhPK-2-Bw,https://drive.google.com/file/d/1mV5J7Fx33Lo8JuQvFzflLbJdhPK-2-Bw/view
ราชบุรี,2,4,นางบุญยิ่ง นิติกาญจนา,กล้าธรรม,43510,1Fp_59CGhY-zCmjtucDKCqiR0N0QV-rkJ,https://drive.google.com/file/d/1Fp_59CGhY-zCmjtucDKCqiR0N0QV-rkJ/view
ราชบุรี,3,2,นายจตุพร กมลพันธ์ทิพย์,กล้าธรรม,51702,1rEQ2O0RMpODU6MhwsjYRd8D94uxNXSbI,https://drive.google.com/file/d/1rEQ2O0RMpODU6MhwsjYRd8D94uxNXSbI/view
ราชบุรี,4,3,นายอัครเดช วงษ์พิทักษ์โรจน์,ภูมิใจไทย,55778,1DtCvEB76l9hvEVVfNJms6UrhCTwE5bp6,https://drive.google.com/file/d/1DtCvEB76l9hvEVVfNJms6UrhCTwE5bp6/view
ราชบุรี,5,4,นายบุญลือ ประเสริฐโสภา,ภูมิใจไทย,45150,1MwAPlXri0TsCpir7DNYc1Xlb7_0R21XS,https://drive.google.com/file/d/1MwAPlXri0TsCpir7DNYc1Xlb7_0R21XS/view
ร้อยเอ็ด,1,5,นายอนุรักษ์ จุรีมาศ,ภูมิใจไทย,50238,1IGLvel2r4G688gbYvZku1P_K3CRtQNvi,https://drive.google.com/file/d/1IGLvel2r4G688gbYvZku1P_K3CRtQNvi/view
ร้อยเอ็ด,2,2,นายเอกรัฐ พลชื่อ,กล้าธรรม,43764,1ssrezAuqQmCrZhZkBVBWwxnMghEYiLh2,https://drive.google.com/file/d/1ssrezAuqQmCrZhZkBVBWwxnMghEYiLh2/view
ร้อยเอ็ด,3,3,นางรัชนี พลชื่อ,กล้าธรรม,35999,1CaNwnljRO2p3_KjM2ADWv14BsbziIFdX,https://drive.google.com/file/d/1CaNwnljRO2p3_KjM2ADWv14BsbziIFdX/view
ร้อยเอ็ด,4,4,นายศุภศิษย์ กอเจริญยศ,เพื่อไทย,22302,1mcDCxqGFttnYzpFRNJvZxdma4MiRU-k-,https://drive.google.com/file/d/1mcDCxqGFttnYzpFRNJvZxdma4MiRU-k-/view
ร้อยเอ็ด,5,6,นางสาวจิราพร สินธุไพร,เพื่อไทย,43787,1bgwrlMmwdOwetxmeCkyHddXuDaqCGFdo,https://drive.google.com/file/d/1bgwrlMmwdOwetxmeCkyHddXuDaqCGFdo/view
ร้อยเอ็ด,6,4,นายทองลี มีหินกอง,เพื่อไทย,33696,1MY8F_fKTLk0F7HsQ-D7TTOEmpTNWl28v,https://drive.google.com/file/d/1MY8F_fKTLk0F7HsQ-D7TTOEmpTNWl28v/view
ร้อยเอ็ด,7,4,นายชัชวาล แพทยาไทย,ไทยสร้างไทย,44414,1HqTHQjze0AbijdTN-qFD-rQiPxzlx3Kd,https://drive.google.com/file/d/1HqTHQjze0AbijdTN-qFD-rQiPxzlx3Kd/view
ร้อยเอ็ด,8,6,นางสาวชญาภา สินธุไพร,เพื่อไทย,26860,1NNCqHpPF_wvXJoJPilR0_Uv_tgWUjrMN,https://drive.google.com/file/d/1NNCqHpPF_wvXJoJPilR0_Uv_tgWUjrMN/view
ลพบุรี,1,8,นายนรินทร์ คลังผา,ภูมิใจไทย,38126,13TprIwJLBZxlSAznHiSD-MyfMckZgaea,https://drive.google.com/file/d/13TprIwJLBZxlSAznHiSD-MyfMckZgaea/view
ลพบุรี,2,3,นางสาวมัลลิกา จิระพันธุ์วานิช,ภูมิใจไทย,58141,1pmZCFtmXTURK0fVrqhalUIOQbt2AUz0I,https://drive.google.com/file/d/1pmZCFtmXTURK0fVrqhalUIOQbt2AUz0I/view
ลพบุรี,3,6,นางสาวกาญจนาพร จิระพันธุ์วาณิช,ภูมิใจไทย,49264,11ni1euivZs12xauGxIKjDEqUE6zC3rzC,https://drive.google.com/file/d/11ni1euivZs12xauGxIKjDEqUE6zC3rzC/view
ลพบุรี,4,5,นายวรวงศ์ วรปัญญา,เพื่อไทย,50031,1ZUZ03q1yly5smzZw4vXbDQbBZ47W8VL3,https://drive.google.com/file/d/1ZUZ03q1yly5smzZw4vXbDQbBZ47W8VL3/view
ลำปาง,1,8,นางทิพา ปวีณาเสถียร,ประชาชน,47614,1W_1A7Vcy3fcUxw1jRFV7pw7VQKeCFgAX,https://drive.google.com/file/d/1W_1A7Vcy3fcUxw1jRFV7pw7VQKeCFgAX/view
ลำปาง,2,5,นายดาชัย เอกปฐพี,กล้าธรรม,35828,1Fvf2rAGEc8E9R4hBlccJIzPBkUj0WzDY,https://drive.google.com/file/d/1Fvf2rAGEc8E9R4hBlccJIzPBkUj0WzDY/view
ลำปาง,3,4,นายชลธานี เชื้อน้อย,ประชาชน,41016,1RwvHJYKSPOMWMxuHoBRqWRjDtrAot2Cu,https://drive.google.com/file/d/1RwvHJYKSPOMWMxuHoBRqWRjDtrAot2Cu/view
ลำปาง,4,3,นางสาวเพ็ญภัค รัตนคำฟู,กล้าธรรม,38171,1bZ4VxL1TcM4q0d1RA4b83SWJIykgc6UL,https://drive.google.com/file/d/1bZ4VxL1TcM4q0d1RA4b83SWJIykgc6UL/view
ลำพูน,1,1,นายวิทวิสิทธิ์ ปันสวนปลูก,ประชาชน,66093,1m5Z2UlGCJN0Xcu4oMNiHwcpHDlRpqQkJ,https://drive.google.com/file/d/1m5Z2UlGCJN0Xcu4oMNiHwcpHDlRpqQkJ/view
ลำพูน,2,3,นายชัชพีร์ วรรณาพิรัชย์,ประชาชน,49316,19CqwmO-Pj2HbpLQ4PeAp_SOPQlz4U1SI,https://drive.google.com/file/d/19CqwmO-Pj2HbpLQ4PeAp_SOPQlz4U1SI/view
ศรีสะเกษ,1,5,นายสิริพงศ์ อังคสกุลเกียรติ,ภูมิใจไทย,53220,14TXAj8mlYfj2zdCWQEuVs1kGLmw06_O5,https://drive.google.com/file/d/14TXAj8mlYfj2zdCWQEuVs1kGLmw06_O5/view
ศรีสะเกษ,2,4,นายศุภกิจ สีหาภาค,ภูมิใจไทย,35712,1kg77waLv7sBVH8e7yiLTtMbN6m7Fdd8K,https://drive.google.com/file/d/1kg77waLv7sBVH8e7yiLTtMbN6m7Fdd8K/view
ศรีสะเกษ,3,4,นายธนา กิจไพบูลย์ชัย,ภูมิใจไทย,51942,1U8LtWfzf8ge0dSY6nBnjTbUSTlrPPUvI,https://drive.google.com/file/d/1U8LtWfzf8ge0dSY6nBnjTbUSTlrPPUvI/view
ศรีสะเกษ,4,4,นายชิตพล ไตรสรณกุล,ภูมิใจไทย,43534,1cNN2L6UhU44Cfa6RUSXxWrpCTGzwUQUc,https://drive.google.com/file/d/1cNN2L6UhU44Cfa6RUSXxWrpCTGzwUQUc/view
ศรีสะเกษ,5,4,นางสาวจินณ์ตวรรณ ไตรสรณกุล,ภูมิใจไทย,39108,1HHCl6bPD2AVET2fkkjEcIQhybZolGRh4,https://drive.google.com/file/d/1HHCl6bPD2AVET2fkkjEcIQhybZolGRh4/view
ศรีสะเกษ,6,4,นายวีระพล จิตสัมฤทธิ์,เพื่อไทย,31345,1-v0F3shlySw7OkzOUzdlrCOR2M_XxrYv,https://drive.google.com/file/d/1-v0F3shlySw7OkzOUzdlrCOR2M_XxrYv/view
ศรีสะเกษ,7,6,นางสาววิลดา อินฉัตร,เพื่อไทย,36190,1p1w9kQQcHjF4AQWBdZzw2T628QY441YB,https://drive.google.com/file/d/1p1w9kQQcHjF4AQWBdZzw2T628QY441YB/view
ศรีสะเกษ,8,2,นายอาสพลธ์ สรรณ์ไตรภพ,ภูมิใจไทย,59873,11I7ad9ph4lA9TiRSEPT4VJBmMg5fAH7R,https://drive.google.com/file/d/11I7ad9ph4lA9TiRSEPT4VJBmMg5fAH7R/view
ศรีสะเกษ,9,2,นายวิทวัส ไตรสรณกุล,ภูมิใจไทย,39667,1W0GZEKBUXl3n1JhGtBqi_1V3xg2o_n-p,https://drive.google.com/file/d/1W0GZEKBUXl3n1JhGtBqi_1V3xg2o_n-p/view
สกลนคร,1,6,นายสิรภพ สมผล,กล้าธรรม,27337,1mafFv4NdqwuM4gsqnHBcrYXgi438Fiak,https://drive.google.com/file/d/1mafFv4NdqwuM4gsqnHBcrYXgi438Fiak/view
สกลนคร,2,4,นายชาตรี หล้าพรหม,กล้าธรรม,25737,127TllTdQoVVUB-tM5pwYwAyb1evUW4DP,https://drive.google.com/file/d/127TllTdQoVVUB-tM5pwYwAyb1evUW4DP/view
สกลนคร,3,4,นางสาวจิรัชยา สัพโส,เพื่อไทย,48088,1BxBQNF4ysfQ92XmfNTl-U9-Z9_zee3kW,https://drive.google.com/file/d/1BxBQNF4ysfQ92XmfNTl-U9-Z9_zee3kW/view
สกลนคร,4,6,นายพัฒนา สัพโส,เพื่อไทย,29887,194S0wd8R8XJCWl7F5CwQm2-OFsZxlX1G,https://drive.google.com/file/d/194S0wd8R8XJCWl7F5CwQm2-OFsZxlX1G/view
สกลนคร,5,2,นางสาววงศ์อะเกื้อ บุญศล,กล้าธรรม,27906,1j4XSRyRGatg6L-Pkd2R1DWZXZBN8llBg,https://drive.google.com/file/d/1j4XSRyRGatg6L-Pkd2R1DWZXZBN8llBg/view
สกลนคร,6,5,นายบรม เอ่งฉ้วน,ภูมิใจไทย,34892,1CF91orV59cKZj4DrV2wGrn-W_625owUS,https://drive.google.com/file/d/1CF91orV59cKZj4DrV2wGrn-W_625owUS/view
สกลนคร,7,3,นายอิสรพงษ์ อุประ,เพื่อไทย,23571,14fWn_R2iCBzQSy8EvKwZaGlCnvGN69KN,https://drive.google.com/file/d/14fWn_R2iCBzQSy8EvKwZaGlCnvGN69KN/view
สงขลา,1,2,นายสรรเพชญ บุญญามณี,ภูมิใจไทย,44252,1WCa3eEGmZefyMgsphRiYKca3PeeXfjGa,https://drive.google.com/file/d/1WCa3eEGmZefyMgsphRiYKca3PeeXfjGa/view
สงขลา,2,1,นายจูรี นุ่มแก้ว,ประชาธิปัตย์,32205,1Nh8zcREMw2k0XXfgUaPdavBZt0wlGXuu,https://drive.google.com/file/d/1Nh8zcREMw2k0XXfgUaPdavBZt0wlGXuu/view
สงขลา,3,5,นายสมยศ พลายด้วง,ภูมิใจไทย,36656,1INa9wcG-FG02Nn0umZvqBTcQmC4F4NDv,https://drive.google.com/file/d/1INa9wcG-FG02Nn0umZvqBTcQmC4F4NDv/view
สงขลา,4,2,นายชนนพัฒฐ์ นาคสั้ว,กล้าธรรม,45863,1rlIHiwTFuEQpOxTrrpouRd6RTqetFxQZ,https://drive.google.com/file/d/1rlIHiwTFuEQpOxTrrpouRd6RTqetFxQZ/view
สงขลา,5,3,นายวงศ์วชร ขาวทอง,กล้าธรรม,51130,13kJfGXP6haSDtsfTooe5wmIC5oOo8PuN,https://drive.google.com/file/d/13kJfGXP6haSDtsfTooe5wmIC5oOo8PuN/view
สงขลา,6,3,นายอนุกูล พฤกษานุศักดิ์,ภูมิใจไทย,48391,1tUmMiPqijb00ChBZJS2ZJboGoaxRCGhV,https://drive.google.com/file/d/1tUmMiPqijb00ChBZJS2ZJboGoaxRCGhV/view
สงขลา,7,2,นายณัฏฐ์ชนน ศรีก่อเกื้อ,ภูมิใจไทย,36128,1OpcoVUXV-HxStBxARnZg7q34LPC7TO-5,https://drive.google.com/file/d/1OpcoVUXV-HxStBxARnZg7q34LPC7TO-5/view
สงขลา,8,3,พล.ต.ต.สุรินทร์ ปาลาเร่,กล้าธรรม,43540,18jLR5BMP1mFhu1_gmfkmrrJ1kbd53_1B,https://drive.google.com/file/d/18jLR5BMP1mFhu1_gmfkmrrJ1kbd53_1B/view
สงขลา,9,2,นายศักดิ์สิทธิ์ ขาวทอง,ประชาธิปัตย์,49475,1sfr874SIv5LxR24N087UeyPpXg6QAG6M,https://drive.google.com/file/d/1sfr874SIv5LxR24N087UeyPpXg6QAG6M/view
สตูล,1,3,นายพีรพัฒน์ รัชกิจประการ,ภูมิใจไทย,38100,1y2FxPfv0B8sY9REPS7RAhNUiTELR3w02,https://drive.google.com/file/d/1y2FxPfv0B8sY9REPS7RAhNUiTELR3w02/view
สตูล,2,4,นายวรศิษฎ์ เลียงประสิทธิ์,ภูมิใจไทย,56595,1m5-8PO7hr2nRyioJuyXxEi1ub2OWa_AQ,https://drive.google.com/file/d/1m5-8PO7hr2nRyioJuyXxEi1ub2OWa_AQ/view
สมุทรปราการ,1,7,นางสาวพนิดา มงคลสวัสดิ์,ประชาชน,43463,1AKmivPbAoeYNwLO1Num3ZLrVWbcbbrhN,https://drive.google.com/file/d/1AKmivPbAoeYNwLO1Num3ZLrVWbcbbrhN/view
สมุทรปราการ,2,7,นางสาวรัชนก สุขประเสริฐ,ประชาชน,40979,1dulP7mHU8b61ehkXxbpk-88z5-VJoBAY,https://drive.google.com/file/d/1dulP7mHU8b61ehkXxbpk-88z5-VJoBAY/view
สมุทรปราการ,3,4,นายพิชัย แจ้งจรรยาวงศ์,ประชาชน,45335,1GwNRtCZwEXA906c5nbMbRfzvdUiNgHg3,https://drive.google.com/file/d/1GwNRtCZwEXA906c5nbMbRfzvdUiNgHg3/view
สมุทรปราการ,4,2,นายชนสิษฎ์ ยอดฉิม,ประชาชน,48876,163vUrbLbBeG5Mqw8VJLMAR5GiW4tyvbG,https://drive.google.com/file/d/163vUrbLbBeG5Mqw8VJLMAR5GiW4tyvbG/view
สมุทรปราการ,5,11,นางสาวนิตยา มีศรี,ประชาชน,57198,12UJb03o7ClLfLeDxObNKVuLTmLuwjvXv,https://drive.google.com/file/d/12UJb03o7ClLfLeDxObNKVuLTmLuwjvXv/view
สมุทรปราการ,6,4,นายฐาปกรณ์ กุลเจริญ,ภูมิใจไทย,35571,1hW_5H73egzyestd01PxbmScMm6VVX3xv,https://drive.google.com/file/d/1hW_5H73egzyestd01PxbmScMm6VVX3xv/view
สมุทรปราการ,7,8,นายบุญเลิศ แสงพันธุ์,ประชาชน,46394,1LY1z90KeXVtulZIaWuhs23JiYcDdbL6D,https://drive.google.com/file/d/1LY1z90KeXVtulZIaWuhs23JiYcDdbL6D/view
สมุทรปราการ,8,9,นายเทพฤทธิ์ ภาษี,ประชาชน,40230,1eSUvuToRKCFTX-iL5G4gcJTujbQ_ilTG,https://drive.google.com/file/d/1eSUvuToRKCFTX-iL5G4gcJTujbQ_ilTG/view
สมุทรสงคราม,1,5,นายอานุภาพ ลิขิตอำนวยชัย,ประชาชน,39492,1UBbkVeBZm8EILgnGZWn0LZnAAVBPCmZw,https://drive.google.com/file/d/1UBbkVeBZm8EILgnGZWn0LZnAAVBPCmZw/view
สมุทรสาคร,1,5,นายณัฐพงษ์ สุมโนธรรม,ประชาชน,32553,1ECGupZuePvbuNOGm11IZHON82Ddov7L5,https://drive.google.com/file/d/1ECGupZuePvbuNOGm11IZHON82Ddov7L5/view
สมุทรสาคร,2,1,นายอนุสรณ์ ไกรวัตนุสสรณ์,ภูมิใจไทย,34749,1BEenNoSVYMbIMM3T3MLHJEmzgMUgq_3i,https://drive.google.com/file/d/1BEenNoSVYMbIMM3T3MLHJEmzgMUgq_3i/view
สมุทรสาคร,3,3,นายศิริโรจน์ ธนิกกุล,ประชาชน,30787,1bVHvtNcyLjVUpy1umAi6MBavHHefs6Ae,https://drive.google.com/file/d/1bVHvtNcyLjVUpy1umAi6MBavHHefs6Ae/view
สมุทรสาคร,4,1,นายปัญญา ซวนบุญ,ภูมิใจไทย,42758,1UAcq9cPe0JiXj2SHDvRwfs5FdE9DY5ip,https://drive.google.com/file/d/1UAcq9cPe0JiXj2SHDvRwfs5FdE9DY5ip/view
สระบุรี,1,5,นายขุนทอง แสนวิเศษ,ภูมิใจไทย,31958,1O40KsvpJeUat1Mq8PrUccBFfr86r75Fg,https://drive.google.com/file/d/1O40KsvpJeUat1Mq8PrUccBFfr86r75Fg/view
สระบุรี,2,5,นายอรรถพล วงษ์ประยูร,ภูมิใจไทย,37225,1Vy5polRSsWCx8jYyeREMHgvfx_Cwt3sa,https://drive.google.com/file/d/1Vy5polRSsWCx8jYyeREMHgvfx_Cwt3sa/view
สระบุรี,3,5,นายวัชรพงศ์ คูวิจิตรสุวรรณ,ภูมิใจไทย,53967,1QapmNRw8w4bzfrQ_CB4qkKT7FCNGc7rr,https://drive.google.com/file/d/1QapmNRw8w4bzfrQ_CB4qkKT7FCNGc7rr/view
สระบุรี,4,5,นายองอาจ วงษ์ประยูร,กล้าธรรม,48159,1JcfVoWQLajenBCfG04w-Kn-8FLRrn2Cf,https://drive.google.com/file/d/1JcfVoWQLajenBCfG04w-Kn-8FLRrn2Cf/view
สระแก้ว,1,5,นายบดี เทียนทอง,พลังประชารัฐ,56083,1NLlQEXi-J5Luf_X7U7ijgj7uvLLV0Dzf,https://drive.google.com/file/d/1NLlQEXi-J5Luf_X7U7ijgj7uvLLV0Dzf/view
