province,district_number,name,form_type,delta,abs_delta,sum_votes,valid_votes,invalid_votes,blank_votes,total_votes,drive_id,drive_url
"เชียงราย","5","เชียงราย เขต 5","constituency","-100","100","91365","91465","4742","3497","99704","1Kb8ql_MqEHAS9VJevXvBIWg4hz-1gTA6","https://drive.google.com/file/d/1Kb8ql_MqEHAS9VJevXvBIWg4hz-1gTA6/view"
"นนทบุรี","6","นนทบุรี เขต 6 (บช)","party_list","-100","100","103366","103466","2576","4084","110126","1FOoRVeiYO1JkpWlgOgAMfNsjhHUdq-OI","https://drive.google.com/file/d/1FOoRVeiYO1JkpWlgOgAMfNsjhHUdq-OI/view"
"ภูเก็ต","1","ภูเก็ต เขต 1","constituency","-100","100","66360","66460","1916","4613","72989","1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd","https://drive.google.com/file/d/1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd/view"
"สกลนคร","4","สกลนคร เขต 4 (บช)","party_list","-100","100","76144","76244","4045","3137","83426","1KKoB8PCeeB0KNv5cuRMr8WQ1LPCURFUf","https://drive.google.com/file/d/1KKoB8PCeeB0KNv5cuRMr8WQ1LPCURFUf/view"
"สุรินทร์","3","สุรินทร์ เขต 3 (บช)","party_list","-100","100","78837","78937","4074","1743","84754","1l9CnCwAhN00-SoFJd22ABhW_Teb5cWMo","https://drive.google.com/file/d/1l9CnCwAhN00-SoFJd22ABhW_Teb5cWMo/view"
"ราชบุรี","2","ราชบุรี เขต 2 (บช)","party_list","99","99","89744","89645","6388","5311","101344","1JmcbH78MSkmA4oM5BK1g2m9cbRWrTvn_","https://drive.google.com/file/d/1JmcbH78MSkmA4oM5BK1g2m9cbRWrTvn_/view"
"กำแพงเพชร","1","กำแพงเพชร เขต 1 (บช)","party_list","96","96","91264","91168","6367","3907","101169","1TAumYeeAL79Wyq640wH6KguHuGvVs0a_","https://drive.google.com/file/d/1TAumYeeAL79Wyq640wH6KguHuGvVs0a_/view"
"สระแก้ว","3","สระแก้ว เขต 3 (บช)","party_list","85","85","92333","92248","6205","3399","101852","1Q-K5Vy2zeWafPEvfjIanoB9rq1DT2aSI","https://drive.google.com/file/d/1Q-K5Vy2zeWafPEvfjIanoB9rq1DT2aSI/view"
"กำแพงเพชร","3","กำแพงเพชร เขต 3 (บช)","party_list","75","75","81932","81857","6661","2762","91280","1JKuTUuv2_jAxTwFMQy1yY64naTKKLMpN","https://drive.google.com/file/d/1JKuTUuv2_jAxTwFMQy1yY64naTKKLMpN/view"
"กรุงเทพมหานคร","3","กรุงเทพมหานคร เขต 3 (บช)","party_list","64","64","78875","78811","1453","2033","82297","12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn","https://drive.google.com/file/d/12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn/view"
"นครศรีธรรมราช","5","นครศรีธรรมราช เขต 5 (บช)","party_list","57","57","100951","100894","3098","2677","106669","1soT_TqXpEYf184nVPomy4dwzFBYQVPW3","https://drive.google.com/file/d/1soT_TqXpEYf184nVPomy4dwzFBYQVPW3/view"
"ศรีสะเกษ","2","ศรีสะเกษ เขต 2 (บช)","party_list","55","55","79352","79297","4128","1580","85005","1-JjjxtDaYbpE0_7sCR_qUYf8bCrSEaEY","https://drive.google.com/file/d/1-JjjxtDaYbpE0_7sCR_qUYf8bCrSEaEY/view"
"นครสวรรค์","2","นครสวรรค์ เขต 2 (บช)","party_list","50","50","94978","94928","6300","2907","104135","1uxpeyJsHI9u2yjsWyWbtznqCWqydgrq5","https://drive.google.com/file/d/1uxpeyJsHI9u2yjsWyWbtznqCWqydgrq5/view"
"นราธิวาส","2","นราธิวาส เขต 2","constituency","50","50","70635","70585","3460","3875","77920","1u9Djagcs-xpQxfkHQWjODtSKXzXOQfQd","https://drive.google.com/file/d/1u9Djagcs-xpQxfkHQWjODtSKXzXOQfQd/view"
"พิจิตร","1","พิจิตร เขต 1 (บช)","party_list","50","50","91071","91021","6323","3436","100780","1EqYsbTpKbYhgxlWOBnmlEUoewpeZi9VK","https://drive.google.com/file/d/1EqYsbTpKbYhgxlWOBnmlEUoewpeZi9VK/view"
"อุตรดิตถ์","2","อุตรดิตถ์ เขต 2","constituency","50","50","74992","74942","3780","4342","83064","1C7X-Mz5lTfrrSMmgrA95MDVFTbyYrh_-","https://drive.google.com/file/d/1C7X-Mz5lTfrrSMmgrA95MDVFTbyYrh_-/view"