province,district_number,name,diff,abs_diff,c_total,p_total,c_drive_id,p_drive_id,c_url,p_url
"ลพบุรี","4","ลพบุรี เขต 4","5932","5932","116195","110263","1ZUZ03q1yly5smzZw4vXbDQbBZ47W8VL3","18h3ED1RVL29N_snbZAlZlGxCnQp4zUCV","https://drive.google.com/file/d/1ZUZ03q1yly5smzZw4vXbDQbBZ47W8VL3/view","https://drive.google.com/file/d/18h3ED1RVL29N_snbZAlZlGxCnQp4zUCV/view"
"กรุงเทพมหานคร","7","กรุงเทพมหานคร เขต 7","-2429","2429","92497","94926","1ValgLEY9IDP2tjduGw73t2M8x6aEuSKl","1LOYfrXZdBQ46zkd2dB4JMFoPQ8MX8JeS","https://drive.google.com/file/d/1ValgLEY9IDP2tjduGw73t2M8x6aEuSKl/view","https://drive.google.com/file/d/1LOYfrXZdBQ46zkd2dB4JMFoPQ8MX8JeS/view"
"นนทบุรี","6","นนทบุรี เขต 6","-103","103","110023","110126","1A3Bd-NMdEFtIljMRpAMp98JHq0Xpija5","1FOoRVeiYO1JkpWlgOgAMfNsjhHUdq-OI","https://drive.google.com/file/d/1A3Bd-NMdEFtIljMRpAMp98JHq0Xpija5/view","https://drive.google.com/file/d/1FOoRVeiYO1JkpWlgOgAMfNsjhHUdq-OI/view"
"เชียงราย","5","เชียงราย เขต 5","99","99","99704","99605","1Kb8ql_MqEHAS9VJevXvBIWg4hz-1gTA6","1YAUhN_-1CnAuImFFlqkvr64PRpSPWNAk","https://drive.google.com/file/d/1Kb8ql_MqEHAS9VJevXvBIWg4hz-1gTA6/view","https://drive.google.com/file/d/1YAUhN_-1CnAuImFFlqkvr64PRpSPWNAk/view"
"ราชบุรี","2","ราชบุรี เขต 2","99","99","101443","101344","1Fp_59CGhY-zCmjtucDKCqiR0N0QV-rkJ","1JmcbH78MSkmA4oM5BK1g2m9cbRWrTvn_","https://drive.google.com/file/d/1Fp_59CGhY-zCmjtucDKCqiR0N0QV-rkJ/view","https://drive.google.com/file/d/1JmcbH78MSkmA4oM5BK1g2m9cbRWrTvn_/view"
"สกลนคร","4","สกลนคร เขต 4","-99","99","83327","83426","194S0wd8R8XJCWl7F5CwQm2-OFsZxlX1G","1KKoB8PCeeB0KNv5cuRMr8WQ1LPCURFUf","https://drive.google.com/file/d/194S0wd8R8XJCWl7F5CwQm2-OFsZxlX1G/view","https://drive.google.com/file/d/1KKoB8PCeeB0KNv5cuRMr8WQ1LPCURFUf/view"
"สุรินทร์","3","สุรินทร์ เขต 3","-99","99","84655","84754","115_l6se7XcVnV_wLjRCqxWpiUV3cgRUt","1l9CnCwAhN00-SoFJd22ABhW_Teb5cWMo","https://drive.google.com/file/d/115_l6se7XcVnV_wLjRCqxWpiUV3cgRUt/view","https://drive.google.com/file/d/1l9CnCwAhN00-SoFJd22ABhW_Teb5cWMo/view"
"ภูเก็ต","1","ภูเก็ต เขต 1","98","98","72989","72891","1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd","1nFOsMX_j7gm-5zMbEg-E6NYL-sIt8lt-","https://drive.google.com/file/d/1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd/view","https://drive.google.com/file/d/1nFOsMX_j7gm-5zMbEg-E6NYL-sIt8lt-/view"
"สงขลา","5","สงขลา เขต 5","-86","86","104525","104611","13kJfGXP6haSDtsfTooe5wmIC5oOo8PuN","1I5u_s9TaHpYiuklM-IGg4RsaLHpqG8FQ","https://drive.google.com/file/d/13kJfGXP6haSDtsfTooe5wmIC5oOo8PuN/view","https://drive.google.com/file/d/1I5u_s9TaHpYiuklM-IGg4RsaLHpqG8FQ/view"
"สระแก้ว","3","สระแก้ว เขต 3","85","85","101937","101852","1d0dy0W34DwpoxkkaoHCxBhjNmzM5Tc7a","1Q-K5Vy2zeWafPEvfjIanoB9rq1DT2aSI","https://drive.google.com/file/d/1d0dy0W34DwpoxkkaoHCxBhjNmzM5Tc7a/view","https://drive.google.com/file/d/1Q-K5Vy2zeWafPEvfjIanoB9rq1DT2aSI/view"
"กำแพงเพชร","3","กำแพงเพชร เขต 3","75","75","91355","91280","12fpaLotgxlIDzg44Qn4K58pKJQVrFhN5","1JKuTUuv2_jAxTwFMQy1yY64naTKKLMpN","https://drive.google.com/file/d/12fpaLotgxlIDzg44Qn4K58pKJQVrFhN5/view","https://drive.google.com/file/d/1JKuTUuv2_jAxTwFMQy1yY64naTKKLMpN/view"
"กรุงเทพมหานคร","3","กรุงเทพมหานคร เขต 3","64","64","82361","82297","1mRmRW0mCj0-cGmv7gqfBvCbRLLHe7zkS","12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn","https://drive.google.com/file/d/1mRmRW0mCj0-cGmv7gqfBvCbRLLHe7zkS/view","https://drive.google.com/file/d/12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn/view"
"ศรีสะเกษ","2","ศรีสะเกษ เขต 2","55","55","85060","85005","1kg77waLv7sBVH8e7yiLTtMbN6m7Fdd8K","1-JjjxtDaYbpE0_7sCR_qUYf8bCrSEaEY","https://drive.google.com/file/d/1kg77waLv7sBVH8e7yiLTtMbN6m7Fdd8K/view","https://drive.google.com/file/d/1-JjjxtDaYbpE0_7sCR_qUYf8bCrSEaEY/view"
"นราธิวาส","2","นราธิวาส เขต 2","-50","50","77920","77970","1u9Djagcs-xpQxfkHQWjODtSKXzXOQfQd","1ybdoZXQDPLYH36sRme_EDWty7sVUhnYq","https://drive.google.com/file/d/1u9Djagcs-xpQxfkHQWjODtSKXzXOQfQd/view","https://drive.google.com/file/d/1ybdoZXQDPLYH36sRme_EDWty7sVUhnYq/view"
"พิจิตร","1","พิจิตร เขต 1","50","50","100830","100780","1sgrzX12MFB_z6sgkArqqgBn2NCaGgOBY","1EqYsbTpKbYhgxlWOBnmlEUoewpeZi9VK","https://drive.google.com/file/d/1sgrzX12MFB_z6sgkArqqgBn2NCaGgOBY/view","https://drive.google.com/file/d/1EqYsbTpKbYhgxlWOBnmlEUoewpeZi9VK/view"
"อุตรดิตถ์","2","อุตรดิตถ์ เขต 2","-50","50","83064","83114","1C7X-Mz5lTfrrSMmgrA95MDVFTbyYrh_-","1fx1cHJBn41Py_WC7uxiwqTsRQnR4O50j","https://drive.google.com/file/d/1C7X-Mz5lTfrrSMmgrA95MDVFTbyYrh_-/view","https://drive.google.com/file/d/1fx1cHJBn41Py_WC7uxiwqTsRQnR4O50j/view"